CODE,NAME,POPULATION,POPULATION_DENSITY,LIFE_EXPECTANCY_AT_BIRTH,H1,H2,H3,H6M,H7,H8M,V1,V2,V3,V4,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,HEALTH_EXPENDITURE,ACCESS_TO_ELECTRICITY,SHARE_BELOW_2_15_A_DAY,MATERNAL_MORTALITY_RATIO,LITERACY_RATE,PRIMARY_COMPLETITION_RATE,PUBLIC_SPENDING_ON_EDUCATION_AS_A_SHARE_OF_GDP,URBAN_POPULATION,WORLD REGIONS ACCORDING TO OWID,PARTIALLY_VACCINATED,TOTAL DOSES ADMINISTERED,TOTAL_DOSES_ADMINISTERED_100
AFG,Afghanistan,41128772,69.7,66.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,2.0,5.0,0.0,0.0,8.33,9.52,0.0,21.82794952,97.7,,620.40753,37.0,44.24226,4.34319,26.616,Asia,47.19545,22964750.0,56.59291
AGO,Angola,35588996,28.3,64.1,1.0,1.0,1.0,2.0,5.0,0.0,2.0,3.0,5.0,1.0,17.02,27.28,27.6,25.0,2.96010613,48.223854,31.122005,221.90651,72.4,59.95566,2.332126,68.081,Africa,46.44487,27819132.0,78.06682
ALB,Albania,2842318,96.4,76.3,2.0,1.0,0.0,2.0,5.0,0.0,2.0,3.0,5.0,1.0,11.11,17.71,20.24,0.0,7.26731825,100.0,0.021277364,8.276446,98.5,97.27,2.74433,63.799,Europe,47.717068,3088966.0,109.242805
ARG,Argentina,45510324,16.5,76.2,2.0,3.0,1.0,1.0,5.0,0.0,2.0,3.0,5.0,0.0,14.38,26.26,30.01,0.0,9.70880699,100.0,0.6,44.900078,98.08997,96.47,4.80521,92.347,South America,91.45777,116978520.0,257.6171
ARM,Armenia,2780472,106.4,76.1,,,,,,,,,,,,,,,12.34,100.0,0.7810783,27.18972,100.0,99.46,0.2426,63.573,Asia,39.950077,2256919.0,78.341225
ATG,Antigua and Barbuda,93772,226.5,77.8,,,,,,,,,,,,,,,5.85133028,100.0,,21.247948,98.95,104.976669311523,3.6477485,24.346,North America,69.23997,136512.0,147.02264
AUS,Australia,26177410,3.4,83.1,2.0,2.0,0.0,2.0,5.0,1.0,2.0,3.0,5.0,0.0,18.52,26.04,29.76,0.0,10.54363918,100.0,0.49709398,2.9415095,99.0,99.52,5.2067766,86.488,Oceania,84.85075,69686750.0,265.96994
AUT,Austria,8939617,110.1,81.6,2.0,3.0,2.0,2.0,5.0,3.0,2.0,3.0,5.0,0.0,35.19,60.42,54.76,100.0,12.1,100.0,0.4858222,5.2283883,98.0,99.97,4.7744713,59.256,Europe,76.118225,20468732.0,225.80757
AZE,Azerbaijan,10358078,127.8,73.9,2.0,3.0,0.0,0.0,5.0,0.0,2.0,2.0,5.0,1.0,34.94,32.15,36.75,0.0,4.7,100.0,0.0,40.763668,100.0,97.56,3.5829003,57.17,Asia,52.191284,13857111.0,134.59639
BDI,Burundi,12889583,494.4,67.4,2.0,2.0,1.0,3.0,5.0,0.0,2.0,2.0,5.0,0.0,19.44,29.17,33.33,0.0,9.10190964,10.233828,62.06576,494.4298,75.54,50.14042,4.8210473,14.417,Africa,0.27707168,42252.0,0.317181
BEL,Belgium,11655923,388.1,81.9,2.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,5.0,0.0,11.11,32.29,36.9,0.0,11.04290771,100.0,0.02996537,4.755863,99.0,98.95,6.35552,98.153,Europe,79.55497,31469388.0,270.31345
BEN,Benin,13352864,124.3,62.2,2.0,2.0,0.0,2.0,5.0,0.0,2.0,3.0,5.0,1.0,11.11,19.79,22.62,0.0,2.58129549,41.973633,12.723279,522.6048,47.1,51.97393,3.377859,49.534,Africa,26.870075,4232541.0,30.760847
