ENTITY,CODE,YYYYMM,YYYY,PARTIAL_VACC_RATE,STRINGENCYINDEX_AVERAGE,V1,V4,HEALTH_EXPENDITURE,MATERNAL_MORTALITY_RATIO,POPULATION,POPULATION_DENSITY,URBAN_POPULATION,PUBLIC_SPENDING_ON_EDUCATION_AS_A_SHARE_OF_GDP,AGRI_OWNERSHIP_MEAN,RURAL_MEAN,HHTYPE_MODE,HHSIZE_CAT_MODE,EDUC_MODE,WHO_REGION,AMC_IND,CUMULATED_COVAX,CUMULATED_DELIVERED,POST_AMC,CUMULATED_COVAX_LAG1,CUMULATED_COVAX_LAG2,CUMULATED_COVAX_LAG3,CUMULATED_DELIVERED_LAG1,CUMULATED_DELIVERED_LAG2,CUMULATED_DELIVERED_LAG3
AFGHANISTAN,AFG,202107,2021,1.8308406,52.31,2.0,0.0,363.61118,620.40753,40000411.0,61.32869,26.314,0.0,0.559912067045248,0.2345509778666701,6.0,5.0,1.0,EMRO,1.0,842400.0,6742400.0,1.0,717600.0,592800.0,468000.0,6617600.0,6492800.0,6368000.0
ALBANIA,ALB,202107,2021,23.702484,37.96,2.0,0.0,1131.6691,8.276446,2849643.0,104.00157,62.969,3.02256,0.3309796999117387,0.364979469664991,3.0,3.0,1.0,EURO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDORRA,AND,202107,2021,60.767418,46.3,2.0,0.0,4907.7734,0.0,78375.0,166.75533,87.858,2.5839722,0.0,0.0,0.0,0.0,0.0,EURO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGOLA,AGO,202107,2021,2.6894128,56.94,2.0,0.0,198.54631,221.90651,34532427.0,27.699068,67.46,2.297109,0.4486485944166558,0.2702771177831091,3.0,5.0,1.0,AFRO,1.0,5100000.0,5600000.0,1.0,5100000.0,5100000.0,5100000.0,5550000.0,5500000.0,5450000.0
ANGUILLA,AIA,202107,2021,66.38502,0.0,0.0,0.0,0.0,0.0,14503.0,161.14444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANTIGUA AND BARBUDA,ATG,202107,2021,41.083027,0.0,0.0,0.0,1229.3458,21.247948,92358.0,209.90454,24.38,2.5746489,-1.0,0.2637972251135232,3.0,3.0,3.0,AMRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGENTINA,ARG,202107,2021,56.765144,74.1,2.0,0.0,2323.0781,44.900078,45312283.0,16.557333,92.229,4.64117,-1.0,0.155614870993728,3.0,3.0,3.0,AMRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMENIA,ARM,202107,2021,3.7722461,0.0,0.0,0.0,1924.0,27.18972,2870339.0,100.81978,63.431,2.76785,0.4054925765956103,0.2521628894328839,6.0,4.0,5.0,EURO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARUBA,ABW,202107,2021,67.53098,28.7,2.0,0.0,0.0,0.0,107565.0,597.5833,43.866,0.0,0.0,0.0,0.0,0.0,0.0,AMRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRALIA,AUS,202107,2021,32.086636,68.06,2.0,1.0,6488.269,2.9415095,25956416.0,3.3744605,86.362,5.33321,-1.0,0.1975584462855425,3.0,3.0,3.0,WPRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA,AUT,202107,2021,59.52067,47.67,2.0,0.0,7272.0,5.2283883,8967053.0,108.66521,58.995,5.49411,-1.0,0.4377652515218407,3.0,3.0,4.0,EURO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZERBAIJAN,AZE,202107,2021,27.975183,58.87,2.0,0.0,733.0,40.763668,10234373.0,123.827866,56.776,3.70208,-1.0,0.2539207502988432,3.0,4.0,1.0,EURO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAHAMAS,BHS,202107,2021,15.546204,62.33,2.0,0.0,2369.3384,77.05064,396381.0,39.598503,83.365,3.0069325,-1.0,0.1755232841148791,3.0,3.0,3.0,AMRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAHRAIN,BHR,202107,2021,72.27138,39.26,2.0,0.0,2341.753,15.8978815,1501762.0,1900.9646,89.622,2.221358,-1.0,0.0247143617674761,3.0,3.0,3.0,EMRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
