ENTITY,YEARMONTH,CODE,AMC_IND,PARTIAL_VACCINED_RATE,time,status
ARUBA,202104,ABW,0,50.184616,31,1
ANGUILLA,202105,AIA,0,62.040558,93,1
ANDORRA,202106,AND,0,52.326836,154,1
UNITED ARAB EMIRATES,202107,ARE,0,71.46009,176,1
ARGENTINA,202107,ARG,0,50.6167,202,1
ANTIGUA AND BARBUDA,202109,ATG,0,52.320385,193,1
AUSTRALIA,202109,AUS,0,50.227974,197,1
AUSTRIA,202106,AUT,0,50.391537,161,1
AZERBAIJAN,202112,AZE,0,50.001026,319,1
BELGIUM,202106,BEL,0,50.77918,169,1
BONAIRE SINT EUSTATIUS AND SABA,202109,BES,0,66.68877,145,1
BANGLADESH,202201,BGD,1,50.351574,353,1
BAHRAIN,202105,BHR,0,50.357067,134,1
BELARUS,202201,BLR,0,53.480923,318,1
BELIZE,202110,BLZ,0,55.572193,241,1
BERMUDA,202105,BMU,0,50.758045,106,1
BOLIVIA,202201,BOL,1,50.40986,339,1
BRAZIL,202108,BRA,0,50.066307,196,1
BARBADOS,202110,BRB,0,50.05136,235,1
BRUNEI,202108,BRN,0,50.86215,150,1
BHUTAN,202103,BTN,1,50.551273,4,1
BOTSWANA,202202,BWA,0,56.426773,313,1
CENTRAL AFRICAN REPUBLIC,202306,CAF,1,51.00764,767,1
CANADA,202105,CAN,0,50.232548,160,1
SWITZERLAND,202107,CHE,0,50.224678,193,1
CHILE,202105,CHL,0,50.345818,151,1
CHINA,202108,CHN,0,75.25368,77,1
COOK ISLANDS,202106,COK,0,56.221603,7,1
COLOMBIA,202109,COL,0,50.03838,196,1
COMOROS,202207,COM,1,50.386124,459,1
CAPE VERDE,202109,CPV,1,52.429245,171,1
COSTA RICA,202107,CRI,0,50.635735,214,1
CUBA,202108,CUB,0,50.208145,111,1
CURACAO,202107,CUW,0,50.004047,124,1
CAYMAN ISLANDS,202105,CYM,0,51.756065,90,1
CYPRUS,202107,CYP,0,50.166847,182,1
CZECHIA,202107,CZE,0,50.202103,199,1
GERMANY,202106,DEU,0,50.32872,171,1
DENMARK,202106,DNK,0,53.023685,189,1
DOMINICAN REPUBLIC,202108,DOM,1,50.017834,172,1
ECUADOR,202107,ECU,0,50.822777,188,1
EGYPT,202304,EGY,1,50.082485,792,1
SPAIN,202106,ESP,0,50.345478,170,1
ESTONIA,202108,EST,0,50.242207,227,1
FINLAND,202106,FIN,0,51.490288,161,1
FIJI,202108,FJI,1,52.70984,111,1
FALKLAND ISLANDS,202103,FLK,0,62.219063,39,1
FRANCE,202106,FRA,0,50.01371,177,1
FAROE ISLANDS,202106,FRO,0,50.76704,147,1
UNITED KINGDOM,202104,GBR,0,50.00644,108,1
GUERNSEY,202104,GGY,0,51.7177,86,1
GIBRALTAR,202102,GIB,0,50.229862,43,1
GUINEA,202302,GIN,1,50.15749,695,1
GREECE,202107,GRC,0,50.36394,194,1
GREENLAND,202106,GRL,0,50.04106,154,1
GUATEMALA,202303,GTM,0,50.00578,762,1
GUYANA,202201,GUY,1,50.03201,320,1
HONG KONG,202108,HKG,0,50.41076,175,1
HONDURAS,202204,HND,1,50.047234,411,1
CROATIA,202111,HRV,0,50.53446,314,1
HUNGARY,202105,HUN,0,50.585617,122,1
INDONESIA,202112,IDN,1,50.28325,313,1
ISLE OF MAN,202104,IMN,0,51.214584,73,1
INDIA,202110,IND,1,50.09629,280,1
IRELAND,202106,IRL,0,50.258953,35,1
IRAN,202110,IRN,0,50.349792,243,1
ICELAND,202106,ISL,0,52.095604,161,1
ISRAEL,202102,ISR,0,50.482986,67,1
